date,date_label,region_code,domaine_code,code_indicateur,valeur,unite,source_code,version_serie,fiabilite,qualite_flag,fichier_source,date_insertion
2008-01-01,2008-01,MA00,?,BAM.ACTIF,103580.03973647361,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-02-01,2008-02,MA00,?,BAM.ACTIF,103051.3614028908,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-03-01,2008-03,MA00,?,BAM.ACTIF,103136.41947195579,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-04-01,2008-04,MA00,?,BAM.ACTIF,102786.4310864023,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-05-01,2008-05,MA00,?,BAM.ACTIF,107809.45469716063,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-06-01,2008-06,MA00,?,BAM.ACTIF,115246.53809211352,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-07-01,2008-07,MA00,?,BAM.ACTIF,110823.50389241493,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-08-01,2008-08,MA00,?,BAM.ACTIF,107448.93975464356,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-09-01,2008-09,MA00,?,BAM.ACTIF,107814.56561462674,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-10-01,2008-10,MA00,?,BAM.ACTIF,120461.4345895994,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-11-01,2008-11,MA00,?,BAM.ACTIF,121637.79381787703,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2008-12-01,2008-12,MA00,?,BAM.ACTIF,122769.52123607918,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-01-01,2009-01,MA00,?,BAM.ACTIF,124564.31351251398,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-02-01,2009-02,MA00,?,BAM.ACTIF,112671.5182989656,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-03-01,2009-03,MA00,?,BAM.ACTIF,120671.78039061358,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-04-01,2009-04,MA00,?,BAM.ACTIF,124174.81237639005,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-05-01,2009-05,MA00,?,BAM.ACTIF,126470.37771487115,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-06-01,2009-06,MA00,?,BAM.ACTIF,129167.40104374314,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-07-01,2009-07,MA00,?,BAM.ACTIF,129819.83945982694,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-08-01,2009-08,MA00,?,BAM.ACTIF,131802.32376359095,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-09-01,2009-09,MA00,?,BAM.ACTIF,128162.0674792622,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-10-01,2009-10,MA00,?,BAM.ACTIF,134856.20734567966,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-11-01,2009-11,MA00,?,BAM.ACTIF,132931.415604204,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2009-12-01,2009-12,MA00,?,BAM.ACTIF,133525.67048669662,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
2010-01-01,2010-01,MA00,?,BAM.ACTIF,135842.15227143464,?,BAM,recente,2,,bkam\2005\25-compte-de-patrimoine-des-opcvm-autres-que-monetaires-janv-2005-sept-2023.xlsx,2026-07-23T21:00:01.625922+0000
