date,date_label,region_code,domaine_code,code_indicateur,valeur,unite,source_code,version_serie,fiabilite,qualite_flag,fichier_source,date_insertion
None-01-01,None,MA00,CHANGE,CHANGE.USD,474642206.82499975,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,464530804.70699984,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,236495134.503,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,175093626.46399996,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,131603265.88500005,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,127833991.52699998,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,108665066.949,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,90564823.013,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,89863016.389,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,85446953.83299997,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,79939605.418,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,78173224.05000001,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,65912146.94,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,62476165.646,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,55217741.686,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,39864679.58799999,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,31594844.240999997,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,27539178.0,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,26147323.490000002,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,24064106.561000004,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,16141019.631999997,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,13486152.0,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,13372437.144999996,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,8679268.817000002,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,7918046.0,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,7082529.391,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
None-01-01,None,MA00,CHANGE,CHANGE.USD,5867671.688,MAD,OC,recente,2,,office_des_changes\undated\Produits remarquables site 1_14.xlsx,2026-07-23T21:00:06.123397+0000
