date,date_label,region_code,domaine_code,code_indicateur,valeur,unite,source_code,version_serie,fiabilite,qualite_flag,fichier_source,date_insertion
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,7.6,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,19.2,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,21.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,21.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,23.3,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,19.4,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,22.0,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,22.1,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,22.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,18.1,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,21.2,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,19.6,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,26.1,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,40.0,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,35.1,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,36.3,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2023-01-01,2023-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,38.9,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2020-01-01,2020-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,28.8,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2021-01-01,2021-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,24.3,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
2022-01-01,2022-01-01,MA00,?,INDICATEUR.HCP.GENERIQUE,22.2,POURCENTAGE,HCP,recente,2,,hcp\undated\i_1.1.xlsx,2026-07-23T21:00:00.664576+0000
